file name,total expected,num of assigned genes,num of unassigned genes,ratio of assigned genes
GCF_000006685-GCF_000009945,0,1680,189,0.898876404494382
GCF_000006685-GCF_000026025,0,1654,176,0.9038251366120219
GCF_000006685-GCF_000204135,0,1645,186,0.898416166029492
GCF_000006685-GCF_000204255,0,1684,195,0.8962213943587014
GCF_000006685-GCF_000454725,0,1652,183,0.9002724795640327
GCF_000006685-GCF_000471025,0,1627,155,0.9130190796857464
GCF_000006685-GCF_000493885,0,1685,99,0.9445067264573991
GCF_000006685-GCF_000583875,0,1531,205,0.8819124423963134
GCF_000006765-GCF_000007565,0,7496,3426,0.6863211865958616
GCF_000006765-GCF_000016565,0,7284,2805,0.7219744275944098
GCF_000006765-GCF_000021045,0,6087,4071,0.5992321323095098
GCF_000006765-GCF_000213805,0,7029,2927,0.7060064282844516
GCF_000006765-GCF_000349845,0,8054,2477,0.7647896685974741
GCF_000006765-GCF_000412695,0,7873,3310,0.7040150228024681
GCF_000006765-GCF_000467105,0,6591,3278,0.6678488195359206
GCF_000006765-GCF_000689415,0,7883,3105,0.7174190025482344
GCF_000006765-GCF_000818015,0,6280,3206,0.6620282521610795
GCF_000006785-GCF_000007265,0,2603,1217,0.6814136125654451
GCF_000006785-GCF_000009545,0,2508,945,0.7263249348392702
GCF_000006785-GCF_000026605,0,2602,959,0.7306936253861275
GCF_000006785-GCF_000188015,0,2622,969,0.7301587301587301
GCF_000006785-GCF_000188035,0,2578,1036,0.7133370226895407
GCF_000006785-GCF_000188055,0,2587,1193,0.6843915343915344
GCF_000006785-GCF_000213825,0,2346,1176,0.666098807495741
GCF_000006785-GCF_000317855,0,2784,846,0.7669421487603306
GCF_000006785-GCF_000380005,0,2572,833,0.755359765051395
GCF_000006785-GCF_000772915,0,2223,840,0.7257590597453477
GCF_000006785-GCF_000831485,0,2550,990,0.7203389830508474
GCF_000006845-GCF_000008805,0,3037,792,0.7931574823713763
GCF_000006845-GCF_000160435,0,2468,1729,0.5880390755301406
GCF_000006845-GCF_000174655,0,2803,1520,0.6483923201480454
GCF_000006845-GCF_000186165,0,2745,1094,0.7150299557176348
GCF_000006845-GCF_000190695,0,2511,1495,0.6268097853220169
GCF_000006845-GCF_000194925,0,2631,1422,0.6491487786824575
GCF_000006845-GCF_000196295,0,3021,845,0.781427832384894
GCF_000006845-GCF_000213535,0,2512,1193,0.6780026990553306
GCF_000006845-GCF_000224255,0,2687,1182,0.6944947014732489
GCF_000006845-GCF_000226875,0,2574,1384,0.6503284487114704
GCF_000006845-GCF_000227765,0,2632,1432,0.6476377952755905
GCF_000006845-GCF_000745955,0,2564,1831,0.5833902161547213
GCF_000006845-GCF_001027865,0,2626,1335,0.6629638980055541
GCF_000006845-GCF_001308005,0,2671,1449,0.6483009708737864
GCF_000006905-GCF_000019145,0,6198,2794,0.689279359430605
GCF_000006905-GCF_000466985,0,3340,2815,0.5426482534524777
GCF_000006905-GCF_000712075,0,6037,2517,0.7057516951133972
GCF_000006905-GCF_000733915,0,3649,2431,0.6001644736842106
GCF_000006905-GCF_000744465,0,6133,2036,0.750765087526013
GCF_000006905-GCF_001425305,0,5135,2623,0.6618973962361433
GCF_000006905-GCF_001425745,0,6268,2197,0.7404607206142941
GCF_000006905-GCF_001429025,0,5317,2664,0.6662072422002255
GCF_000006925-GCF_000009065,0,4977,3317,0.6000723414516518
GCF_000006925-GCF_000009345,0,5262,3076,0.6310865915087551
GCF_000006925-GCF_000010085,0,3698,4099,0.47428498140310377
GCF_000006925-GCF_000012005,0,6328,2281,0.7350447206411894
GCF_000006925-GCF_000017665,0,5417,2930,0.6489756798849886
GCF_000006925-GCF_000018085,0,5685,3580,0.613599568267674
GCF_000006925-GCF_000023605,0,5081,3396,0.5993865754394243
GCF_000006925-GCF_000025565,0,6053,3780,0.6155801891589545
GCF_000006925-GCF_000091565,0,4677,2959,0.6124934520691462
GCF_000006925-GCF_000180175,0,3590,3348,0.5174401844912079
GCF_000006925-GCF_000196615,0,5293,3772,0.5838940981798124
GCF_000006925-GCF_000215745,0,6107,3120,0.661861926953506
GCF_000006925-GCF_000240185,0,6080,4014,0.6023380225876759
GCF_000006925-GCF_000241955,0,5417,3640,0.59810091641824
GCF_000006925-GCF_000262305,0,5378,2644,0.6704063824482672
GCF_000006925-GCF_000283875,0,5300,3353,0.6125043337570785
GCF_000006925-GCF_000300455,0,5626,3127,0.6427510567805323
GCF_000006925-GCF_000302695,0,5329,3080,0.6337257700083244
GCF_000006925-GCF_000307305,0,4438,3058,0.5920490928495198
GCF_000006925-GCF_000336255,0,5264,3735,0.5849538837648628
GCF_000006925-GCF_000406285,0,4636,3278,0.5857973212029315
GCF_000006925-GCF_000438825,0,5662,3515,0.6169772256728778
GCF_000006925-GCF_000495815,0,2773,5637,0.3297265160523187
GCF_000006925-GCF_000496755,0,4808,3347,0.5895769466584917
GCF_000006925-GCF_000513215,0,5699,3220,0.6389729790335239
GCF_000006925-GCF_000597785,0,5522,2917,0.65434293162697
GCF_000006925-GCF_000599885,0,5078,2811,0.6436810749144378
GCF_000006925-GCF_000648515,0,6397,2851,0.6917171280276817
GCF_000006925-GCF_000688655,0,4426,3087,0.5891122055104485
GCF_000006925-GCF_000705335,0,5695,3399,0.6262370793930063
GCF_000006925-GCF_000735365,0,5851,2844,0.6729154686601495
GCF_000006925-GCF_000735515,0,5880,2920,0.6681818181818182
GCF_000006925-GCF_000737905,0,5736,2816,0.6707202993451824
GCF_000006925-GCF_000757785,0,5882,3232,0.6453807329383366
GCF_000006925-GCF_000759475,0,5023,3118,0.6170003685050977
GCF_000006925-GCF_000759795,0,5356,2975,0.6429000120033609
GCF_000006925-GCF_000951135,0,4932,3389,0.5927172214878019
GCF_000006925-GCF_001006005,0,5924,3556,0.6248945147679325
GCF_000006925-GCF_001026985,0,4350,3402,0.5611455108359134
GCF_000006925-GCF_001049335,0,5368,3426,0.6104161928587674
GCF_000006925-GCF_001078095,0,4031,3110,0.5644867665593054
GCF_000006985-GCF_000020505,0,3296,986,0.7697337692666978
GCF_000007005-GCF_000022385,0,4638,960,0.8285101822079314
GCF_000007025-GCF_000008045,0,1573,470,0.7699461576113559
GCF_000007025-GCF_000012145,0,1905,583,0.7656752411575563
GCF_000007025-GCF_000012385,0,1937,646,0.7499032133178475
GCF_000007025-GCF_000014345,0,1629,500,0.765147956787224
GCF_000007025-GCF_000018205,0,1720,485,0.780045351473923
GCF_000007025-GCF_000160735,0,1596,1035,0.6066134549600912
GCF_000007025-GCF_000195735,0,1585,485,0.7657004830917874
GCF_000007025-GCF_000255355,0,1774,604,0.7460050462573591
GCF_000007025-GCF_000283595,0,2033,330,0.8603470165044435
GCF_000007025-GCF_000284075,0,1906,432,0.8152266894781864
GCF_000007025-GCF_000284155,0,1842,529,0.7768873892872206
GCF_000007025-GCF_000284175,0,1964,387,0.8353891960867715
GCF_000007025-GCF_000485845,0,1950,429,0.819672131147541
GCF_000007025-GCF_001273795,0,1920,468,0.8040201005025126
GCF_000007045-GCF_000011825,0,2310,1165,0.6647482014388489
GCF_000007045-GCF_000014205,0,2742,1342,0.6714005876591577
GCF_000007045-GCF_000026745,0,2662,1099,0.7077904812549853
GCF_000007045-GCF_000027165,0,2947,869,0.7722746331236897
GCF_000007045-GCF_000164675,0,2730,1008,0.7303370786516854
GCF_000007045-GCF_000186465,0,2743,1013,0.7302981895633652
GCF_000007045-GCF_000187585,0,2614,771,0.7722304283604136
GCF_000007045-GCF_000253335,0,2560,1157,0.6887274683884853
GCF_000007045-GCF_000270145,0,2649,1380,0.6574832464631423
GCF_000007045-GCF_000380045,0,2180,1003,0.6848884699968583
GCF_000007045-GCF_000385925,0,2602,1170,0.6898197242841994
GCF_000007045-GCF_000463355,0,2624,1015,0.7210772190162132
GCF_000007065-GCF_000007345,0,5349,2485,0.6827929537911667
GCF_000007065-GCF_000195895,0,4997,2060,0.7080912569080345
GCF_000007065-GCF_000969885,0,4294,1593,0.7294037710208935
GCF_000007065-GCF_000969905,0,4983,1818,0.7326863696515218
GCF_000007065-GCF_000969965,0,4926,1760,0.7367633861800778
GCF_000007065-GCF_000970085,0,5344,1915,0.7361895577903292
GCF_000007065-GCF_000970265,0,4724,1821,0.721772345301757
GCF_000007065-GCF_000970285,0,5517,1890,0.7448359659781288
GCF_000007065-GCF_000979455,0,5054,1548,0.7655255983035444
GCF_000007065-GCF_001304615,0,4386,1577,0.7355358041254402
GCF_000007265-GCF_000009545,0,2708,1179,0.6966812451762284
GCF_000007265-GCF_000188015,0,2717,1308,0.6750310559006211
GCF_000007265-GCF_000188055,0,2986,1228,0.7085904129093498
GCF_000007265-GCF_000213825,0,2518,1438,0.6365015166835187
GCF_000007265-GCF_000317855,0,2903,1161,0.7143208661417323
GCF_000007265-GCF_000379985,0,2729,1351,0.6688725490196078
GCF_000007265-GCF_000380005,0,2787,1052,0.7259703047668664
GCF_000007265-GCF_000772915,0,2217,1280,0.6339719759794109
GCF_000007265-GCF_000831485,0,2838,1136,0.7141419224962254
GCF_000007305-GCF_000009965,0,3084,1112,0.7349857006673022
GCF_000007305-GCF_000011105,0,2985,786,0.7915672235481305
GCF_000007305-GCF_000018365,0,2832,1073,0.7252240717029449
GCF_000007305-GCF_000022365,0,2968,1112,0.7274509803921568
GCF_000007305-GCF_000022545,0,2932,949,0.7554753929399639
GCF_000007305-GCF_000151105,0,3127,1011,0.7556790720154664
GCF_000007305-GCF_000195935,0,3107,710,0.8139900445375949
GCF_000007305-GCF_000211475,0,3147,742,0.8092054512728207
GCF_000007305-GCF_000215995,0,2923,841,0.776567481402763
GCF_000007305-GCF_000221185,0,2951,1094,0.7295426452410383
GCF_000007305-GCF_000246985,0,3166,1087,0.7444157065600753
GCF_000007305-GCF_000258515,0,2817,937,0.7503995737879595
GCF_000007305-GCF_000263735,0,3085,677,0.8200425305688464
GCF_000007305-GCF_000265525,0,2884,1117,0.7208197950512372
GCF_000007305-GCF_000430485,0,3025,1072,0.7383451305833537
GCF_000007305-GCF_000517445,0,2930,1091,0.7286744590897787
GCF_000007305-GCF_000585495,0,2976,1120,0.7265625
GCF_000007305-GCF_000725425,0,2971,943,0.759070005109862
GCF_000007305-GCF_000769655,0,3035,1115,0.7313253012048193
GCF_000007305-GCF_001317345,0,2888,981,0.7464461101059705
GCF_000007325-GCF_000158215,0,3173,1034,0.7542191585452817
GCF_000007325-GCF_000381725,0,2744,921,0.7487039563437926
GCF_000007345-GCF_000195895,0,5656,2613,0.6840004837344298
GCF_000007345-GCF_000969885,0,4382,2717,0.6172700380335259
GCF_000007345-GCF_000969905,0,5447,2566,0.6797703731436416
GCF_000007345-GCF_000969965,0,5403,2495,0.6840972398075462
GCF_000007345-GCF_000970085,0,6559,1912,0.7742887498524377
GCF_000007345-GCF_000970265,0,5037,2720,0.6493489751192472
GCF_000007345-GCF_000970285,0,6125,2494,0.7106392852999188
GCF_000007345-GCF_000979455,0,5436,2378,0.6956744305093422
GCF_000007345-GCF_001304615,0,4527,2648,0.6309407665505227
GCF_000007385-GCF_000072485,0,4944,3263,0.6024125746314122
GCF_000007385-GCF_000087965,0,4512,2408,0.6520231213872832
GCF_000007385-GCF_000185965,0,4261,2651,0.6164641203703703
GCF_000007385-GCF_000233915,0,4186,2707,0.6072827506165676
GCF_000007385-GCF_000348585,0,5961,2149,0.7350184956843403
GCF_000007385-GCF_000376745,0,5096,1980,0.7201808931599774
GCF_000007385-GCF_000472505,0,4010,2843,0.585145191886765
GCF_000007385-GCF_000510725,0,4340,2505,0.6340394448502557
GCF_000007385-GCF_000559025,0,4207,3349,0.556776071995765
GCF_000007385-GCF_000661955,0,4900,2912,0.6272401433691757
GCF_000007385-GCF_000768355,0,3808,2943,0.564064583024737
GCF_000007385-GCF_000815185,0,5188,2527,0.6724562540505509
GCF_000007385-GCF_001014645,0,4304,2875,0.5995263964340437
GCF_000007385-GCF_001314305,0,4472,2913,0.6055517941773866
GCF_000007385-GCF_001427635,0,4490,2831,0.6133041934162
GCF_000007385-GCF_001429315,0,4224,3500,0.5468669083376488
GCF_000007385-GCF_001431415,0,4569,2874,0.6138653768641676
GCF_000007385-GCF_001431485,0,3921,2906,0.5743371905668668
GCF_000007385-GCF_001431505,0,4205,2511,0.6261167361524718
GCF_000007385-GCF_001431535,0,4562,2703,0.6279421885753613
GCF_000007385-GCF_001431645,0,4669,2634,0.6393263042585239
GCF_000007385-GCF_001442515,0,4563,4007,0.532438739789965
GCF_000007385-GCF_001442535,0,4589,3782,0.548202126388723
GCF_000007385-GCF_001442785,0,4743,4105,0.5360533453887885
GCF_000007465-GCF_000286075,0,3102,772,0.8007227671657202
GCF_000007465-GCF_000380065,0,2608,1122,0.6991957104557641
GCF_000007465-GCF_000380105,0,2850,1287,0.6889050036258159
GCF_000007525-GCF_000220135,0,2778,839,0.7680398119988942
GCF_000007525-GCF_000741215,0,2440,913,0.7277065314643603
GCF_000007525-GCF_000741695,0,2703,1049,0.7204157782515992
GCF_000007525-GCF_000741715,0,2754,1135,0.7081511956801234
GCF_000007525-GCF_000741775,0,2454,1343,0.6462997102976034
GCF_000007565-GCF_000007805,0,6893,4076,0.6284073297474702
GCF_000007565-GCF_000009225,0,7895,3347,0.7022771748799146
GCF_000007565-GCF_000012245,0,6955,3484,0.6662515566625156
GCF_000007565-GCF_000012265,0,8096,3432,0.7022900763358778
GCF_000007565-GCF_000016565,0,6632,3235,0.6721394547481504
GCF_000007565-GCF_000026105,0,7912,2432,0.7648878576952823
GCF_000007565-GCF_000213805,0,6463,3271,0.6639613725087323
GCF_000007565-GCF_000251185,0,7450,3324,0.6914794876554669
GCF_000007565-GCF_000282775,0,5325,4180,0.5602314571278275
GCF_000007565-GCF_000349845,0,6979,3330,0.6769812784945194
GCF_000007565-GCF_000412695,0,7429,3532,0.6777666271325609
GCF_000007565-GCF_000467105,0,6034,3613,0.6254794236550223
GCF_000007565-GCF_000497835,0,7726,3287,0.7015345500771815
GCF_000007565-GCF_000510765,0,6343,3514,0.6435020797402861
GCF_000007565-GCF_000590475,0,6078,3415,0.6402612451279891
GCF_000007565-GCF_000689415,0,7106,3660,0.6600408694036782
GCF_000007565-GCF_000730585,0,7965,3044,0.7234989554001272
GCF_000007565-GCF_000746525,0,7764,2643,0.7460363217065437
GCF_000007565-GCF_000756775,0,5411,3254,0.624466243508367
GCF_000007565-GCF_000759445,0,6909,3224,0.6818316391986579
GCF_000007565-GCF_000761155,0,6450,2929,0.6877065785264954
GCF_000007565-GCF_000800255,0,7225,2408,0.7500259524551023
GCF_000007565-GCF_000806415,0,5401,3329,0.6186712485681558
GCF_000007565-GCF_000818015,0,5813,3451,0.6274827288428325
GCF_000007565-GCF_000826105,0,6502,2946,0.6881879762912786
GCF_000007565-GCF_000829415,0,7338,3471,0.6788787121842909
GCF_000007565-GCF_001446935,0,6144,3240,0.6547314578005116
GCF_000007605-GCF_000008725,0,1665,196,0.8946802794196669
GCF_000007605-GCF_000008745,0,1811,192,0.9041437843235147
GCF_000007605-GCF_000009945,0,1878,65,0.9665465774575399
GCF_000007605-GCF_000026025,0,1823,81,0.9574579831932774
GCF_000007605-GCF_000204135,0,1787,118,0.9380577427821523
GCF_000007605-GCF_000204255,0,1891,62,0.9682539682539683
GCF_000007605-GCF_000454725,0,1783,126,0.9339968569931901
GCF_000007605-GCF_000471025,0,1734,122,0.9342672413793104
GCF_000007605-GCF_000493885,0,1644,214,0.8848223896663079
GCF_000007605-GCF_000583875,0,1649,161,0.9110497237569061
GCF_000007645-GCF_000009405,0,3597,1240,0.7436427537729998
GCF_000007645-GCF_000009865,0,3820,1101,0.7762649867913026
GCF_000007645-GCF_000010125,0,3673,1155,0.7607705053852527
GCF_000007645-GCF_000010585,0,3020,1673,0.6435116130406989
GCF_000007645-GCF_000013425,0,3782,1467,0.7205181939417031
GCF_000007645-GCF_000025085,0,3796,1062,0.7813915191436805
GCF_000007645-GCF_000183685,0,3734,875,0.8101540464308961
GCF_000007645-GCF_000185885,0,3512,1335,0.7245719001444192
GCF_000007645-GCF_000235645,0,3622,1111,0.7652651595182759
GCF_000007645-GCF_000260275,0,3591,1073,0.7699399656946827
GCF_000007645-GCF_000286335,0,3520,1406,0.7145757206658546
GCF_000007645-GCF_000286395,0,3404,1641,0.6747274529236869
GCF_000007645-GCF_000295715,0,3517,1270,0.7346981407979946
GCF_000007645-GCF_000332735,0,3874,966,0.8004132231404959
GCF_000007645-GCF_000499705,0,3878,885,0.8141927356707958
GCF_000007645-GCF_000816085,0,3496,1240,0.7381756756756757
GCF_000007645-GCF_000972575,0,3719,1365,0.7315106215578285
GCF_000007645-GCF_001045675,0,1922,3435,0.3587829008773567
GCF_000007645-GCF_001188915,0,3560,1251,0.7399709000207857
GCF_000007645-GCF_001432245,0,3774,1305,0.7430596574128765
GCF_000007665-GCF_000333435,0,2882,2796,0.5075730891158858
GCF_000007665-GCF_000383315,0,3482,2486,0.5834450402144772
GCF_000007665-GCF_000421825,0,3055,2136,0.5885185898670776
GCF_000007665-GCF_000633535,0,3548,2714,0.5665921430852763
GCF_000007665-GCF_001423185,0,3185,2474,0.562820286269659
GCF_000007665-GCF_001423695,0,3376,2620,0.5630420280186791
GCF_000007665-GCF_001428745,0,3393,2419,0.583792154163799
GCF_000007705-GCF_000964065,0,5641,2751,0.6721877979027645
GCF_000007705-GCF_001020585,0,6955,1339,0.8385579937304075
GCF_000007765-GCF_001077715,0,1616,1401,0.5356314219423268
GCF_000007785-GCF_000157355,0,3747,2603,0.5900787401574803
GCF_000007785-GCF_000174395,0,3646,2732,0.5716525556600816
GCF_000007785-GCF_000271405,0,3376,2367,0.5878460734807592
GCF_000007785-GCF_000407165,0,4065,2331,0.6355534709193246
GCF_000007785-GCF_000407185,0,4375,3186,0.5786271657188202
GCF_000007785-GCF_000407485,0,4076,4206,0.4921516541898092
GCF_000007785-GCF_000407545,0,4272,2934,0.5928393005828476
GCF_000007785-GCF_000407585,0,3509,2338,0.6001368223020352
GCF_000007785-GCF_000407605,0,3167,2251,0.5845330380214101
GCF_000007785-GCF_000421665,0,2578,2630,0.49500768049155147
GCF_000007785-GCF_000504125,0,3718,2476,0.6002583144979012
GCF_000007785-GCF_001050095,0,3512,2283,0.6060396893874029
GCF_000007805-GCF_000009225,0,7966,3545,0.6920337068890626
GCF_000007805-GCF_000012245,0,8792,1916,0.8210683601045947
GCF_000007805-GCF_000012265,0,7613,4184,0.6453335593795033
GCF_000007805-GCF_000016565,0,6165,3971,0.6082280978689818
GCF_000007805-GCF_000026105,0,6763,3850,0.6372373504192971
GCF_000007805-GCF_000251185,0,7523,3520,0.6812460382142533
GCF_000007805-GCF_000282775,0,5306,4468,0.5428688356865152
GCF_000007805-GCF_000467105,0,5806,4110,0.5855183541750706
GCF_000007805-GCF_000497835,0,7607,3675,0.6742598829994682
GCF_000007805-GCF_000510765,0,6372,3754,0.6292711830930279
GCF_000007805-GCF_000590475,0,5654,4108,0.5791845933210408
GCF_000007805-GCF_000730585,0,7008,4270,0.6213867707040255
GCF_000007805-GCF_000746525,0,6594,4082,0.6176470588235294
GCF_000007805-GCF_000756775,0,4925,4009,0.5512648309827625
GCF_000007805-GCF_000759445,0,7317,3085,0.703422418765622
GCF_000007805-GCF_000761155,0,6397,3251,0.6630389718076285
GCF_000007805-GCF_000800255,0,6672,3230,0.6738032720662492
GCF_000007805-GCF_000806415,0,4808,4191,0.5342815868429825
GCF_000007805-GCF_000818015,0,5401,4132,0.5665582712682261
GCF_000007805-GCF_000826105,-,-,-,-
GCF_000007805-GCF_000829415,0,7798,3280,0.7039176746705181
GCF_000007805-GCF_001446935,0,5627,4026,0.5829275872785662
GCF_000007825-GCF_000008165,0,8617,1566,0.8462142786997938
GCF_000007825-GCF_000008505,0,8797,1631,0.8435941695435366
GCF_000007825-GCF_000017425,0,6495,2499,0.7221480987324883
GCF_000007825-GCF_000161415,0,7682,2955,0.7221961079251669
GCF_000007825-GCF_000482345,0,7448,2474,0.7506551098568837
GCF_000007825-GCF_000612665,0,5130,4224,0.5484284797947402
GCF_000007825-GCF_000712595,0,6992,2730,0.7191935815675787
GCF_000007865-GCF_000018345,0,7288,2359,0.7554680211464704
GCF_000007865-GCF_000157895,0,7182,2508,0.7411764705882353
GCF_000007865-GCF_000164135,0,7655,2185,0.7779471544715447
GCF_000007865-GCF_000195855,0,3100,2760,0.5290102389078498
GCF_000007865-GCF_000214155,0,6476,2017,0.7625103026021429
GCF_000007865-GCF_000222105,0,8071,1286,0.8625627872181255
GCF_000007865-GCF_000277125,0,7881,1272,0.861029170763684
GCF_000007865-GCF_000340435,0,5892,2081,0.7389941051047284
GCF_000007865-GCF_000373905,0,5587,2792,0.6667860126506743
GCF_000007865-GCF_000455305,0,7079,2069,0.7738303454306953
GCF_000007865-GCF_000612885,0,7202,3519,0.6717656934987408
GCF_000007865-GCF_000613245,0,7247,2157,0.7706295193534666
GCF_000007865-GCF_000689255,0,7655,2361,0.7642771565495208
GCF_000007865-GCF_000759695,0,6755,2145,0.7589887640449439
GCF_000007865-GCF_000975265,0,3283,2953,0.526459268762027
GCF_000007865-GCF_001005175,0,6535,2473,0.7254662522202486
GCF_000007865-GCF_001021505,0,6615,2214,0.7492354740061162
GCF_000007865-GCF_001291445,0,6676,3360,0.6652052610601833
GCF_000007865-GCF_001417955,0,7618,3047,0.7142991092358181
GCF_000007905-GCF_000091985,0,2259,933,0.7077067669172933
GCF_000007905-GCF_000155495,0,2439,1141,0.6812849162011173
GCF_000007905-GCF_000158455,0,2330,1008,0.6980227681246255
GCF_000007905-GCF_000162575,0,2393,885,0.7300183038438072
GCF_000007905-GCF_000349975,0,2921,1013,0.7425012709710218
GCF_000007905-GCF_000518225,0,2145,937,0.6959766385463985
GCF_000007905-GCF_000762845,0,3013,533,0.8496897913141568
GCF_000007905-GCF_000762875,0,2487,1383,0.6426356589147287
GCF_000007905-GCF_000763135,0,2686,812,0.7678673527730131
GCF_000007905-GCF_000765665,0,2770,706,0.7968929804372842
GCF_000007905-GCF_000765695,0,2518,1048,0.7061132922041503
GCF_000007905-GCF_000765905,0,2560,1161,0.6879871002418705
GCF_000007925-GCF_000012505,0,3018,1149,0.7242620590352772
GCF_000007925-GCF_000014585,0,3012,1489,0.6691846256387469
GCF_000007925-GCF_000063505,0,2976,1342,0.6892079666512274
GCF_000007925-GCF_000063525,0,2873,1354,0.6796782588123965
GCF_000007925-GCF_000153045,0,2863,1906,0.6003355001048438
GCF_000007925-GCF_000153065,0,2895,1541,0.6526149684400361
GCF_000007925-GCF_000153285,0,2983,1487,0.6673378076062639
GCF_000007925-GCF_000153825,0,2973,1508,0.663467975898237
GCF_000007925-GCF_000155635,0,2856,1661,0.6322780606597299
GCF_000007925-GCF_000195975,0,2995,1346,0.6899331951163327
GCF_000007925-GCF_000316515,0,2896,2055,0.584932336901636
GCF_000007925-GCF_000515235,0,2994,1556,0.658021978021978
GCF_000007925-GCF_000737535,0,3010,1650,0.6459227467811158
GCF_000007925-GCF_000737575,0,2993,1399,0.6814663023679417
GCF_000007925-GCF_000737595,0,2990,1446,0.6740306582506763
GCF_000007925-GCF_000757865,0,3116,729,0.8104031209362809
GCF_000007925-GCF_000760175,0,3191,442,0.8783374621524911
GCF_000007925-GCF_001039265,0,1965,1730,0.5317997293640054
GCF_000008025-GCF_000008385,0,1405,444,0.7598702001081665
GCF_000008025-GCF_000073005,0,1788,381,0.8243430152143845
GCF_000008025-GCF_000306885,0,1228,439,0.7366526694661067
GCF_000008025-GCF_000331595,0,1723,333,0.8380350194552529
GCF_000008025-GCF_000376585,0,1778,296,0.8572806171648988
GCF_000008025-GCF_000689175,0,1344,401,0.7702005730659026
GCF_000008025-GCF_000829315,0,1574,443,0.7803668815071889
GCF_000008045-GCF_000012145,0,1563,514,0.7525276841598459
GCF_000008045-GCF_000012385,0,1567,605,0.7214548802946593
GCF_000008045-GCF_000014345,0,1517,201,0.8830034924330618
GCF_000008045-GCF_000018205,0,1539,255,0.8578595317725752
GCF_000008045-GCF_000160735,0,1364,856,0.6144144144144145
GCF_000008045-GCF_000195735,0,1595,64,0.9614225437010248
GCF_000008045-GCF_000255355,0,1494,473,0.7595322826639552
GCF_000008045-GCF_000283595,0,1566,386,0.8022540983606558
GCF_000008045-GCF_000284075,0,1550,377,0.8043591074208615
GCF_000008045-GCF_000284155,0,1556,404,0.7938775510204081
GCF_000008045-GCF_000284175,0,1567,373,0.8077319587628866
GCF_000008045-GCF_000485845,0,1549,419,0.7870934959349594
GCF_000008045-GCF_001273795,0,1558,419,0.7880627212948913
